"","Exhaust.System.Specialists","Intake.System.Specialists","Fuel.Emissions.Specialists","Drivetrain.Specialists","Repair.Date"
"22614",1,1,2,1,2017-02-02
"22615",4,2,1,2,2017-01-24
"22616",1,1,1,2,2017-02-03
"22617",1,1,1,1,2017-02-03
"22618",1,1,1,1,2017-01-27
"22619",1,1,1,1,2017-01-27
"22620",1,1,2,1,2017-01-26
"22621",1,1,1,1,2017-01-27
"22622",3,2,2,2,2017-02-03
"22623",1,1,2,2,2017-01-25
"22624",1,1,2,1,2017-01-26
"22625",3,2,1,2,2017-02-09
"22626",3,2,1,2,2017-02-12
"22627",1,1,1,1,2017-01-31
"22628",1,1,1,2,2017-01-28
"22629",4,2,2,2,2017-02-01
"22630",1,1,1,2,2017-01-26
"22631",3,2,1,1,2017-02-14
"22632",1,1,2,2,2017-01-26
"22633",3,2,1,1,2017-02-06
"22634",3,2,2,2,2017-01-27
"22635",1,1,2,2,2017-01-30
"22636",3,2,1,2,2017-01-29
"22637",1,1,1,1,2017-02-11
"22638",1,1,1,2,2017-02-07
"22639",1,1,1,1,2017-01-29
"22640",1,1,1,1,2017-02-06
"22641",1,1,1,1,2017-01-25
"22642",1,1,1,1,2017-01-26
"22643",1,1,1,0,2017-02-08
"22644",1,1,2,2,2017-02-08
"22645",1,1,1,1,2017-01-28
"22646",3,2,2,1,2017-02-13
"22647",1,1,1,2,2017-02-04
"22648",3,2,1,1,2017-02-07
"22649",1,1,1,1,2017-01-24
"22650",1,1,1,1,2017-02-04
"22651",3,2,1,1,2017-02-16
"22652",3,2,1,2,2017-01-26
"22653",1,1,1,2,2017-01-31
"22654",1,1,2,2,2017-02-04
"22655",3,2,1,1,2017-01-27
"22656",1,1,1,1,2017-02-09
"22657",0,1,1,1,2017-02-12
"22658",1,1,1,2,2017-02-16
"22659",1,1,1,2,2017-02-05
"22660",3,2,2,2,2017-01-26
"22661",1,1,2,2,2017-02-05
"22662",1,1,2,3,2017-01-25
"22663",1,1,2,2,2017-01-28
"22664",1,1,2,2,2017-02-10
"22665",1,1,2,1,2017-02-11
"22666",1,1,2,1,2017-01-24
"22667",3,2,2,2,2017-02-05
"22668",1,1,1,1,2017-01-24
"22669",1,1,1,1,2017-01-26
"22670",3,2,1,1,2017-02-07
"22671",1,1,2,3,2017-02-10
"22672",3,2,1,1,2017-01-27
"22673",1,1,1,2,2017-01-26
"22674",3,2,2,1,2017-02-04
"22675",3,2,1,1,2017-02-02
"22676",3,2,1,1,2017-02-01
"22677",3,2,1,2,2017-01-25
"22678",3,2,2,1,2017-02-10
"22679",3,2,1,2,2017-01-28
"22680",3,2,1,2,2017-02-03
"22681",2,4,1,2,2017-02-12
"22682",1,1,2,2,2017-01-25
"22683",3,2,1,1,2017-02-09
"22684",1,1,2,1,2017-01-30
"22685",1,1,2,2,2017-01-30
"22686",1,1,1,1,2017-01-30
"22687",2,4,1,2,2017-01-26
"22688",3,2,1,1,2017-01-27
"22689",1,1,1,2,2017-02-05
"22690",1,1,1,2,2017-02-08
"22691",3,2,2,2,2017-02-01
"22692",3,2,1,2,2017-01-31
"22693",1,1,1,2,2017-01-27
"22694",1,1,1,2,2017-01-30
"22695",3,2,1,1,2017-01-26
"22696",3,2,2,2,2017-02-08
"22697",1,1,1,2,2017-02-01
"22698",3,2,1,2,2017-01-30
"22699",3,2,1,1,2017-02-12
"22700",3,2,1,1,2017-01-25
"22701",3,2,1,1,2017-01-27
"22702",1,1,2,1,2017-02-04
"22703",3,2,2,2,2017-01-29
"22704",1,1,1,2,2017-01-27
"22705",3,2,2,2,2017-01-26
"22706",3,2,1,2,2017-02-12
"22707",1,1,2,2,2017-01-26
"22708",3,2,1,2,2017-01-26
"22709",3,2,0,1,2017-02-15
"22710",3,2,2,2,2017-02-04
"22711",1,1,2,2,2017-01-24
"22712",3,2,2,2,2017-02-01
"22713",3,2,2,2,2017-02-08
"22714",1,1,2,2,2017-02-09
"22715",1,1,1,1,2017-01-29
"22716",1,1,1,1,2017-02-13
"22717",1,1,1,2,2017-02-02
"22718",3,2,2,2,2017-01-29
"22719",3,2,2,2,2017-02-09
"22720",1,1,1,1,2017-02-11
"22721",1,1,1,1,2017-01-27
"22722",3,2,2,1,2017-02-07
"22723",1,1,1,2,2017-02-09
"22724",3,2,2,2,2017-02-02
"22725",3,2,2,1,2017-02-10
"22726",3,2,1,1,2017-02-13
"22727",3,2,1,1,2017-02-04
"22728",1,1,2,2,2017-02-11
"22729",3,2,1,1,2017-02-11
"22730",1,1,3,1,2017-02-05
"22731",3,2,1,1,2017-02-11
"22732",1,1,2,2,2017-02-11
"22733",3,2,2,2,2017-02-08
"22734",3,2,2,2,2017-02-13
"22735",1,1,2,2,2017-02-05
"22736",1,1,2,2,2017-01-28
"22737",1,1,1,1,2017-01-29
"22738",1,1,2,1,2017-02-02
"22739",1,1,2,2,2017-01-24
"22740",3,2,2,2,2017-01-30
"22741",1,1,2,2,2017-01-31
"22742",1,1,1,2,2017-01-28
"22743",1,1,1,1,2017-02-02
"22744",3,2,2,2,2017-02-14
"22745",1,1,2,2,2017-01-25
"22746",1,1,2,2,2017-01-27
"22747",3,2,2,3,2017-01-29
"22748",1,1,1,2,2017-01-30
"22749",1,1,2,2,2017-02-13
"22750",1,1,2,1,2017-02-01
"22751",1,1,2,2,2017-01-26
"22752",3,2,2,2,2017-01-29
"22753",1,1,1,2,2017-01-27
"22754",3,2,0,2,2017-02-01
"22755",4,2,1,1,2017-01-31
"22756",3,2,2,1,2017-02-04
"22757",1,1,2,2,2017-02-12
"22758",1,1,2,2,2017-01-29
"22759",1,1,1,1,2017-02-13
"22760",1,1,2,2,2017-02-04
"22761",1,1,2,1,2017-01-30
"22762",3,2,1,2,2017-02-12
"22763",1,1,2,2,2017-01-30
"22764",4,2,1,1,2017-01-24
"22765",1,1,2,2,2017-02-06
"22766",1,1,2,2,2017-02-02
"22767",1,1,1,1,2017-01-26
"22768",1,1,2,2,2017-02-05
"22769",1,1,2,1,2017-02-09
"22770",1,1,2,2,2017-02-03
"22771",1,1,1,1,2017-02-06
"22772",1,1,1,2,2017-01-24
"22773",1,1,1,2,2017-02-01
"22774",4,2,2,0,2017-01-30
"22775",3,2,2,2,2017-02-06
"22776",1,1,2,1,2017-01-27
"22777",1,1,1,1,2017-01-26
"22778",1,1,1,2,2017-02-10
"22779",1,1,2,2,2017-02-03
"22780",1,1,2,1,2017-01-27
"22781",3,2,2,1,2017-01-26
"22782",1,1,1,2,2017-01-31
"22783",1,1,2,2,2017-02-09
"22784",1,1,2,2,2017-01-27
"22785",1,1,2,1,2017-02-11
"22786",3,2,1,1,2017-02-09
"22787",1,1,1,2,2017-01-30
"22788",1,1,1,1,2017-02-03
"22789",3,2,1,2,2017-01-25
"22790",3,2,2,1,2017-01-29
"22791",1,1,2,1,2017-01-26
"22792",3,2,1,1,2017-01-30
"22793",1,1,1,1,2017-01-30
"22794",3,2,1,1,2017-02-06
"22795",3,2,1,1,2017-01-29
"22796",1,1,1,2,2017-02-03
"22797",3,2,2,2,2017-02-09
"22798",1,1,1,1,2017-01-27
"22799",1,1,2,2,2017-02-07
"22800",3,2,2,2,2017-02-10
"22801",3,2,2,2,2017-02-14
"22802",1,1,1,1,2017-01-27
"22803",1,1,2,2,2017-01-25
"22804",3,2,1,1,2017-01-27
"22805",3,2,2,2,2017-02-01
"22806",1,1,0,1,2017-02-15
"22807",1,1,2,2,2017-01-31
"22808",1,1,2,1,2017-01-26
"22809",1,1,1,1,2017-01-26
"22810",3,2,2,1,2017-01-30
"22811",1,1,1,1,2017-01-25
"22812",1,1,2,2,2017-02-12
"22813",1,1,1,1,2017-01-29
"22814",1,1,1,1,2017-01-26
"22815",3,2,2,2,2017-02-03
"22816",3,2,2,1,2017-02-04
"22817",0,1,2,2,2017-02-12
"22818",1,1,2,2,2017-02-10
"22819",3,2,2,2,2017-02-12
"22820",3,2,2,2,2017-01-28
"22821",1,1,2,1,2017-01-29
"22822",1,1,1,1,2017-01-25
"22823",1,1,1,1,2017-02-02
"22824",1,1,1,1,2017-01-25
"22825",2,4,2,2,2017-01-25
"22826",3,2,1,1,2017-02-09
"22827",3,2,3,2,2017-01-31
"22828",1,1,2,1,2017-01-31
"22829",1,1,1,2,2017-02-10
"22830",3,2,1,2,2017-01-28
"22831",1,1,2,2,2017-01-25
"22832",3,2,2,1,2017-02-11
"22833",1,1,2,2,2017-02-11
"22834",1,1,2,2,2017-02-07
"22835",3,2,1,1,2017-02-04
"22836",1,1,2,1,2017-01-27
"22837",3,2,1,1,2017-02-01
"22838",3,2,1,1,2017-02-06
"22839",1,1,1,1,2017-01-31
"22840",1,1,1,1,2017-02-03
"22841",1,1,1,1,2017-02-03
"22842",4,2,2,1,2017-01-27
"22843",3,2,1,1,2017-02-02
"22844",3,2,1,1,2017-02-11
"22845",4,0,1,2,2017-01-27
"22846",3,2,2,2,2017-02-05
"22847",1,1,1,1,2017-01-24
"22848",3,2,2,2,2017-02-13
"22849",3,2,1,1,2017-02-11
"22850",1,1,2,1,2017-02-06
"22851",1,1,1,1,2017-01-31
"22852",1,1,2,2,2017-01-28
"22853",1,1,1,1,2017-01-27
"22854",3,2,2,1,2017-02-04
"22855",1,1,1,2,2017-02-15
"22856",1,1,1,2,2017-01-26
"22857",1,1,1,3,2017-01-27
"22858",1,1,2,2,2017-02-15
"22859",3,2,1,1,2017-02-04
"22860",3,2,1,1,2017-01-30
"22861",3,2,2,1,2017-02-13
"22862",1,1,1,2,2017-02-09
"22863",3,2,1,3,2017-02-11
"22864",3,2,2,1,2017-02-07
"22865",3,2,2,1,2017-01-25
"22866",1,1,1,1,2017-02-05
"22867",1,1,1,0,2017-02-12
"22868",3,2,1,1,2017-02-06
"22869",1,1,1,1,2017-01-26
"22870",0,1,2,2,2017-02-11
"22871",1,1,1,1,2017-02-07
"22872",1,1,1,2,2017-01-27
"22873",1,1,2,1,2017-02-01
"22874",1,1,1,2,2017-02-01
"22875",1,1,2,1,2017-01-28
"22876",3,2,2,2,2017-02-07
"22877",1,1,2,2,2017-02-02
"22878",3,2,2,2,2017-02-08
"22879",3,2,2,2,2017-01-25
"22880",1,1,1,1,2017-01-26
"22881",3,2,0,1,2017-01-28
"22882",3,2,2,2,2017-02-09
"22883",1,1,1,1,2017-02-01
"22884",1,1,2,2,2017-01-31
"22885",3,2,2,1,2017-01-29
"22886",1,1,1,1,2017-01-29
"22887",1,1,2,2,2017-01-24
"22888",3,2,1,1,2017-02-15
"22889",2,4,1,1,2017-02-14
"22890",1,1,2,2,2017-02-01
"22891",3,2,2,2,2017-02-08
"22892",3,2,1,0,2017-02-04
"22893",1,1,2,2,2017-01-30
"22894",3,2,1,2,2017-02-11
"22895",1,1,1,2,2017-01-29
"22896",1,1,1,1,2017-02-08
"22897",3,2,2,2,2017-02-10
"22898",3,2,1,2,2017-02-08
"22899",1,1,1,2,2017-01-27
"22900",3,2,2,1,2017-02-07
"22901",1,1,1,1,2017-01-28
"22902",1,1,1,1,2017-01-29
"22903",1,1,1,2,2017-01-24
"22904",3,2,1,1,2017-02-02
"22905",1,1,1,1,2017-02-12
"22906",1,1,2,2,2017-02-10
"22907",1,1,1,1,2017-01-28
"22908",1,1,2,1,2017-02-05
"22909",1,1,2,2,2017-02-10
"22910",3,2,2,1,2017-01-31
"22911",1,1,2,2,2017-02-02
"22912",1,1,2,1,2017-02-05
"22913",1,1,2,2,2017-02-09
"22914",1,1,2,2,2017-01-27
"22915",1,1,1,1,2017-02-02
"22916",1,1,2,2,2017-02-11
"22917",1,1,1,2,2017-02-10
"22918",3,2,2,1,2017-01-31
"22919",4,2,2,1,2017-02-04
"22920",1,1,1,2,2017-01-26
"22921",1,1,2,2,2017-02-12
"22922",2,4,1,1,2017-02-09
"22923",2,4,1,1,2017-02-16
"22924",1,1,1,2,2017-01-29
"22925",3,2,1,1,2017-01-30
"22926",1,1,1,2,2017-02-14
"22927",1,1,2,1,2017-02-04
"22928",1,1,2,2,2017-02-08
"22929",1,1,2,2,2017-01-24
"22930",1,1,2,2,2017-02-01
"22931",3,2,1,1,2017-02-09
"22932",3,2,2,2,2017-02-06
"22933",1,1,1,1,2017-02-01
"22934",3,2,1,1,2017-01-26
"22935",1,1,2,2,2017-01-25
"22936",1,1,1,2,2017-02-11
"22937",3,2,1,1,2017-02-03
"22938",1,1,2,2,2017-01-25
"22939",3,2,2,2,2017-01-30
"22940",1,1,1,1,2017-01-27
"22941",1,1,1,2,2017-01-30
"22942",1,1,2,1,2017-01-28
"22943",1,1,2,1,2017-01-25
"22944",3,2,2,1,2017-02-11
"22945",1,1,1,2,2017-01-26
"22946",2,4,1,2,2017-02-13
"22947",1,1,2,2,2017-02-03
"22948",1,1,1,2,2017-02-04
"22949",1,1,1,1,2017-01-30
"22950",1,1,2,2,2017-02-12
"22951",1,1,1,1,2017-02-04
"22952",1,1,1,2,2017-01-26
"22953",1,1,1,1,2017-02-01
"22954",3,2,2,1,2017-02-04
"22955",3,2,1,1,2017-01-31
"22956",1,1,1,1,2017-01-28
"22957",1,1,2,2,2017-02-14
"22958",1,1,2,1,2017-01-24
"22959",1,1,1,1,2017-01-29
"22960",1,1,2,2,2017-01-29
"22961",3,2,2,1,2017-02-01
"22962",1,1,1,2,2017-02-12
"22963",1,1,1,2,2017-01-29
"22964",1,1,2,2,2017-01-27
"22965",1,1,2,2,2017-02-11
"22966",3,2,3,2,2017-02-12
"22967",1,1,0,1,2017-01-29
"22968",1,1,1,1,2017-02-10
"22969",1,1,1,1,2017-01-27
"22970",1,1,2,1,2017-02-01
"22971",1,1,2,2,2017-02-01
"22972",1,1,1,2,2017-02-07
"22973",3,2,2,2,2017-02-13
"22974",1,1,2,2,2017-02-10
"22975",3,2,1,1,2017-01-29
"22976",1,1,1,2,2017-01-28
"22977",1,1,1,1,2017-01-28
"22978",1,1,1,1,2017-02-03
"22979",1,1,1,1,2017-01-26
"22980",3,2,1,1,2017-02-04
"22981",1,1,2,1,2017-02-14
"22982",1,1,1,2,2017-01-29
"22983",1,1,1,2,2017-01-30
"22984",3,2,1,1,2017-01-26
"22985",1,1,2,2,2017-02-02
"22986",1,1,2,2,2017-02-03
"22987",3,2,1,1,2017-02-06
"22988",1,1,1,1,2017-02-04
"22989",3,2,2,2,2017-02-01
"22990",3,2,2,2,2017-02-11
"22991",3,2,1,1,2017-01-27
"22992",1,1,2,2,2017-01-29
"22993",1,1,2,2,2017-01-30
"22994",3,2,2,2,2017-01-27
"22995",3,2,1,2,2017-01-26
"22996",3,2,2,1,2017-01-24
"22997",3,2,1,1,2017-02-04
"22998",1,1,2,2,2017-01-31
"22999",3,2,2,2,2017-01-27
"23000",1,1,2,2,2017-01-25
"23001",3,2,2,1,2017-02-12
"23002",3,2,2,1,2017-01-26
"23003",0,1,1,1,2017-02-13
"23004",1,1,1,2,2017-02-05
"23005",4,2,1,1,2017-01-31
"23006",1,1,2,2,2017-01-30
"23007",1,1,1,2,2017-02-01
"23008",1,1,2,2,2017-01-29
"23009",1,1,1,1,2017-01-27
"23010",3,2,1,1,2017-01-24
"23011",1,1,3,2,2017-02-03
"23012",3,2,1,1,2017-01-27
"23013",1,1,2,1,2017-02-13
"23014",1,1,1,1,2017-01-26
"23015",1,1,0,1,2017-02-05
"23016",3,2,1,1,2017-01-27
"23017",3,2,1,2,2017-01-31
"23018",3,2,2,2,2017-01-28
"23019",1,1,2,2,2017-02-13
"23020",1,1,1,2,2017-02-09
"23021",1,1,1,2,2017-01-26
"23022",1,1,2,1,2017-01-31
"23023",3,2,2,2,2017-01-26
"23024",1,1,2,2,2017-02-15
"23025",1,1,2,1,2017-01-28
"23026",3,2,2,2,2017-02-06
"23027",1,1,1,1,2017-02-06
"23028",1,1,0,1,2017-02-03
"23029",1,1,1,1,2017-02-14
"23030",1,1,2,2,2017-01-27
"23031",1,1,2,2,2017-02-05
"23032",1,1,1,2,2017-02-08
"23033",1,1,2,3,2017-02-01
"23034",3,2,1,2,2017-01-28
"23035",1,1,1,1,2017-02-02
"23036",1,1,2,2,2017-02-07
"23037",1,1,1,1,2017-02-11
"23038",3,2,1,1,2017-02-05
"23039",1,1,2,1,2017-01-26
"23040",1,1,2,2,2017-01-28
"23041",1,1,2,2,2017-01-25
"23042",3,2,1,1,2017-02-13
"23043",3,2,2,2,2017-02-01
"23044",1,1,1,1,2017-01-31
"23045",1,1,1,1,2017-01-26
"23046",1,1,2,1,2017-02-10
"23047",1,1,1,2,2017-02-10
"23048",1,1,2,2,2017-02-02
"23049",3,2,2,1,2017-02-15
"23050",1,1,1,1,2017-02-07
"23051",1,1,1,2,2017-02-15
"23052",1,1,1,1,2017-02-06
"23053",1,1,1,1,2017-02-11
"23054",1,1,1,1,2017-02-04
"23055",3,2,1,1,2017-01-25
"23056",1,1,2,2,2017-02-01
"23057",3,2,1,1,2017-02-05
"23058",1,1,1,1,2017-02-07
"23059",1,1,2,1,2017-01-27
"23060",3,2,2,1,2017-01-27
"23061",1,1,2,1,2017-01-29
"23062",3,2,2,2,2017-02-05
"23063",1,1,1,2,2017-01-24
"23064",1,1,1,0,2017-02-02
"23065",3,2,2,2,2017-02-04
"23066",1,1,1,1,2017-01-31
"23067",1,1,1,1,2017-02-03
"23068",3,2,1,1,2017-01-29
"23069",3,2,1,1,2017-01-25
"23070",4,2,2,2,2017-01-27
"23071",3,2,1,1,2017-02-10
"23072",1,1,1,1,2017-01-31
"23073",1,1,2,1,2017-01-25
"23074",3,2,1,1,2017-02-09
"23075",1,1,2,1,2017-02-01
"23076",1,1,1,1,2017-01-25
"23077",1,1,2,1,2017-01-27
"23078",1,1,2,2,2017-01-29
"23079",1,1,1,2,2017-01-25
"23080",1,1,2,2,2017-01-28
"23081",1,1,1,2,2017-01-25
"23082",1,1,2,2,2017-01-30
"23083",1,1,1,0,2017-01-31
"23084",1,1,2,1,2017-02-12
"23085",1,1,2,2,2017-02-07
"23086",3,2,1,2,2017-01-24
"23087",1,1,2,2,2017-01-25
"23088",1,1,1,1,2017-01-26
"23089",1,1,2,2,2017-01-24
"23090",3,2,2,2,2017-02-13
"23091",3,2,1,1,2017-01-29
"23092",1,1,1,2,2017-02-10
"23093",1,1,2,2,2017-01-26
"23094",1,1,1,2,2017-02-03
"23095",1,1,0,1,2017-02-04
"23096",1,1,1,2,2017-01-26
"23097",3,2,2,2,2017-02-05
"23098",1,1,2,2,2017-02-10
"23099",3,2,0,2,2017-01-29
"23100",1,1,1,1,2017-01-28
"23101",1,1,1,1,2017-01-26
"23102",1,1,2,2,2017-02-02
"23103",3,2,1,1,2017-02-13
"23104",1,1,2,2,2017-02-07
"23105",1,1,1,1,2017-02-10
"23106",1,1,1,2,2017-02-01
"23107",3,2,1,2,2017-02-01
"23108",1,1,2,2,2017-01-26
"23109",3,2,2,2,2017-02-05
"23110",3,2,1,1,2017-02-08
"23111",1,1,1,2,2017-01-25
"23112",1,1,1,1,2017-01-31
"23113",1,1,2,2,2017-01-25
"23114",3,2,2,2,2017-02-02
"23115",3,2,1,2,2017-02-05
"23116",1,1,1,2,2017-02-10
"23117",1,1,2,2,2017-02-04
"23118",3,2,1,1,2017-01-31
"23119",3,2,1,1,2017-02-12
"23120",4,2,2,1,2017-01-25
"23121",1,1,1,1,2017-01-24
"23122",1,1,1,2,2017-01-30
"23123",1,1,2,1,2017-01-28
"23124",1,1,1,1,2017-01-28
"23125",3,2,2,2,2017-01-29
"23126",1,1,1,1,2017-01-25
"23127",3,2,2,1,2017-02-12
"23128",3,2,1,2,2017-02-11
"23129",1,1,2,1,2017-01-24
"23130",4,2,1,1,2017-01-25
"23131",4,2,1,2,2017-02-01
"23132",1,1,1,1,2017-02-02
"23133",1,1,1,0,2017-01-26
"23134",1,1,2,1,2017-01-29
"23135",1,1,2,2,2017-01-29
"23136",3,2,2,2,2017-02-03
"23137",3,2,2,2,2017-02-15
"23138",3,2,2,0,2017-01-30
"23139",1,1,2,2,2017-01-30
"23140",1,1,1,2,2017-01-29
"23141",1,1,0,1,2017-01-31
"23142",1,1,2,1,2017-02-01
"23143",1,1,2,2,2017-01-26
"23144",3,2,1,2,2017-02-15
"23145",0,1,1,1,2017-02-13
"23146",1,1,2,2,2017-02-07
"23147",1,1,2,2,2017-01-29
"23148",3,2,1,1,2017-02-13
"23149",1,1,1,2,2017-01-25
"23150",1,1,1,1,2017-01-28
"23151",1,1,1,1,2017-02-15
"23152",1,1,2,2,2017-02-14
"23153",4,2,1,2,2017-01-25
"23154",1,1,1,1,2017-02-16
"23155",1,1,1,1,2017-01-28
"23156",1,1,2,1,2017-02-06
"23157",1,1,1,1,2017-02-11
"23158",3,2,1,1,2017-02-01
"23159",3,2,1,2,2017-02-07
"23160",1,1,2,2,2017-01-26
"23161",1,1,1,2,2017-02-09
"23162",1,1,1,2,2017-02-07
"23163",1,1,2,2,2017-02-08
"23164",1,1,1,1,2017-01-26
"23165",1,1,2,2,2017-01-28
"23166",1,1,2,1,2017-01-28
"23167",1,1,3,1,2017-02-12
"23168",1,1,2,2,2017-02-10
"23169",1,1,1,2,2017-02-05
"23170",1,1,1,1,2017-02-03
"23171",1,1,2,2,2017-01-29
"23172",3,2,2,1,2017-02-04
"23173",3,2,2,2,2017-02-03
"23174",1,1,1,1,2017-01-30
"23175",1,1,1,2,2017-01-25
"23176",1,1,0,1,2017-02-10
"23177",1,1,1,1,2017-02-03
"23178",1,1,2,2,2017-02-07
"23179",3,2,2,2,2017-02-01
"23180",1,1,1,1,2017-02-03
"23181",3,2,2,2,2017-02-02
"23182",1,1,1,2,2017-01-25
"23183",1,1,2,2,2017-02-02
"23184",3,2,2,2,2017-01-30
"23185",3,2,2,2,2017-02-05
"23186",1,1,2,1,2017-01-27
"23187",1,1,1,2,2017-02-01
"23188",1,1,0,0,2017-02-02
"23189",3,2,2,2,2017-02-13
"23190",1,1,2,1,2017-01-25
"23191",1,1,2,2,2017-01-26
"23192",0,1,2,1,2017-01-29
"23193",1,1,1,2,2017-01-28
"23194",2,4,1,2,2017-02-01
"23195",1,1,1,1,2017-02-07
"23196",1,1,1,1,2017-02-05
"23197",3,2,1,1,2017-01-30
"23198",1,1,1,1,2017-02-07
"23199",3,2,1,1,2017-02-03
"23200",1,1,1,2,2017-01-24
"23201",1,1,2,2,2017-01-30
"23202",1,1,0,0,2017-01-30
"23203",3,2,2,2,2017-02-11
"23204",1,1,2,2,2017-01-28
"23205",3,2,1,1,2017-02-07
"23206",1,1,0,2,2017-01-24
"23207",1,1,1,1,2017-01-26
"23208",1,1,2,1,2017-01-29
"23209",1,1,2,2,2017-01-24
"23210",1,1,2,2,2017-01-28
"23211",1,1,1,1,2017-02-04
"23212",1,1,2,2,2017-01-28
"23213",1,1,2,1,2017-02-01
"23214",1,1,1,1,2017-01-25
"23215",1,1,1,2,2017-02-13
"23216",4,2,1,2,2017-01-28
"23217",1,1,1,1,2017-01-26
"23218",1,1,1,1,2017-01-31
"23219",1,1,2,2,2017-02-06
"23220",1,1,2,1,2017-02-12
"23221",1,1,1,1,2017-02-15
"23222",1,1,2,1,2017-01-25
"23223",1,1,1,2,2017-01-28
"23224",3,2,2,1,2017-01-26
"23225",3,2,1,2,2017-01-31
"23226",1,1,1,1,2017-02-04
"23227",3,2,2,1,2017-02-13
"23228",3,2,1,2,2017-01-27
"23229",1,1,2,1,2017-02-07
"23230",2,4,1,1,2017-01-29
"23231",1,1,1,1,2017-02-06
"23232",1,1,2,1,2017-01-30
"23233",1,1,2,2,2017-02-14
"23234",1,1,1,1,2017-02-05
"23235",3,2,2,1,2017-02-04
"23236",1,1,1,0,2017-01-30
"23237",3,2,2,2,2017-02-11
"23238",1,1,2,2,2017-01-25
"23239",1,1,2,2,2017-02-07
"23240",1,1,2,2,2017-01-30
"23241",1,1,1,2,2017-01-27
"23242",2,4,1,1,2017-02-15
"23243",3,2,2,1,2017-02-02
"23244",3,2,1,1,2017-02-10
"23245",1,1,3,3,2017-02-03
"23246",1,1,2,1,2017-01-24
"23247",1,1,1,2,2017-02-15
"23248",3,2,2,2,2017-01-28
"23249",1,1,3,2,2017-01-30
"23250",1,1,1,2,2017-02-08
"23251",3,2,2,3,2017-02-15
"23252",1,1,1,1,2017-02-02
"23253",3,2,1,1,2017-02-12
"23254",0,1,1,2,2017-02-15
"23255",1,1,1,1,2017-01-25
"23256",1,1,1,1,2017-02-09
"23257",3,2,2,2,2017-01-28
"23258",1,1,1,2,2017-01-27
"23259",3,2,2,1,2017-01-31
"23260",1,1,2,2,2017-01-25
"23261",1,1,1,1,2017-02-12
"23262",1,1,1,1,2017-01-31
"23263",3,2,1,1,2017-01-27
"23264",3,2,2,2,2017-02-13
"23265",1,1,1,1,2017-01-25
"23266",1,1,2,1,2017-02-08
"23267",3,2,2,2,2017-01-24
"23268",3,2,1,1,2017-02-04
"23269",1,1,2,0,2017-02-07
"23270",2,4,1,1,2017-02-06
"23271",3,2,1,1,2017-01-31
"23272",1,1,2,2,2017-02-05
"23273",1,1,2,1,2017-01-31
"23274",1,1,2,1,2017-01-29
"23275",1,1,1,1,2017-01-27
"23276",3,2,1,0,2017-02-08
"23277",1,1,1,1,2017-01-26
"23278",3,2,2,2,2017-01-31
"23279",1,1,1,2,2017-02-01
"23280",3,2,1,1,2017-02-12
"23281",1,1,1,2,2017-02-03
"23282",1,1,2,2,2017-02-03
"23283",1,1,1,2,2017-02-03
"23284",1,1,1,1,2017-02-12
"23285",1,1,2,2,2017-02-01
"23286",1,1,2,2,2017-02-02
"23287",1,1,1,2,2017-01-25
"23288",1,1,1,2,2017-01-31
"23289",1,1,1,1,2017-02-05
"23290",2,4,2,2,2017-02-03
"23291",3,2,1,1,2017-01-28
"23292",1,1,1,1,2017-02-08
"23293",3,2,1,1,2017-01-25
"23294",3,2,1,2,2017-01-25
"23295",1,1,1,1,2017-02-04
"23296",1,1,1,1,2017-02-05
"23297",3,2,2,2,2017-02-01
"23298",3,2,1,1,2017-02-12
"23299",3,2,2,1,2017-02-08
"23300",1,1,2,2,2017-01-29
"23301",1,1,1,1,2017-01-27
"23302",1,1,2,2,2017-01-28
"23303",0,1,1,1,2017-02-10
"23304",1,1,0,1,2017-02-03
"23305",1,1,2,2,2017-01-26
"23306",1,1,1,1,2017-02-06
"23307",1,1,2,2,2017-01-25
"23308",1,1,2,2,2017-02-14
"23309",1,1,2,1,2017-01-27
"23310",3,2,1,1,2017-02-04
"23311",1,1,1,1,2017-01-28
"23312",1,1,1,2,2017-02-04
"23313",3,2,2,2,2017-01-29
"23314",1,1,1,1,2017-02-06
"23315",3,2,2,1,2017-02-05
"23316",3,2,1,1,2017-02-15
"23317",1,1,2,1,2017-01-31
"23318",1,1,2,1,2017-02-06
"23319",1,1,2,2,2017-02-08
"23320",1,1,2,2,2017-02-14
"23321",3,2,1,2,2017-01-25
"23322",3,2,2,1,2017-02-10
"23323",3,2,2,2,2017-01-31
"23324",3,2,2,2,2017-01-29
"23325",1,1,2,2,2017-02-03
"23326",3,2,1,2,2017-02-14
"23327",1,1,2,2,2017-02-01
"23328",1,1,2,1,2017-01-31
"23329",1,1,2,1,2017-02-03
"23330",1,1,1,1,2017-01-31
"23331",3,2,1,1,2017-01-25
"23332",1,1,2,1,2017-01-27
"23333",1,1,1,2,2017-01-25
"23334",1,1,1,1,2017-02-08
"23335",3,2,2,2,2017-02-01
"23336",1,1,1,2,2017-01-28
"23337",1,1,2,1,2017-02-05
"23338",3,2,1,1,2017-02-01
"23339",1,1,2,2,2017-02-11
"23340",1,1,2,2,2017-02-09
"23341",1,1,1,2,2017-02-12
"23342",3,2,1,2,2017-02-03
"23343",3,2,1,1,2017-02-06
"23344",1,1,1,1,2017-02-10
"23345",3,2,2,2,2017-02-16
"23346",1,1,1,1,2017-02-12
