"","InvoiceNo","StockCode","Description","Quantity","InvoiceDate","UnitPrice","CustomerID","Country"
"294163","562688","22983","CARD BILLBOARD FONT",12,"8/8/2011 13:53",0.42,13869,"United Kingdom"
"168376","551035","22364","GLASS JAR DIGESTIVE BISCUITS",6,"4/26/2011 11:34",2.95,15065,"United Kingdom"
"151988","549574","22138","BAKING SET 9 PIECE RETROSPOT ",3,"4/10/2011 16:02",4.95,18226,"United Kingdom"
"235581","557643","85099B","JUMBO BAG RED RETROSPOT",3,"6/21/2011 16:36",4.13,NA,"United Kingdom"
"422379","573082","85123A","WHITE HANGING HEART T-LIGHT HOLDER",36,"10/27/2011 14:21",2.55,17173,"United Kingdom"
"495908","578335","22667","RECIPE BOX RETROSPOT ",6,"11/24/2011 9:06",2.95,17481,"United Kingdom"
"197275","553894","21232","STRAWBERRY CERAMIC TRINKET BOX",12,"5/19/2011 17:15",1.25,13658,"United Kingdom"
"385306","570192","22940","FELTCRAFT CHRISTMAS FAIRY",4,"10/7/2011 15:26",4.25,17509,"United Kingdom"
"349611","567509","22192","BLUE DINER WALL CLOCK",6,"9/20/2011 14:51",7.65,14298,"United Kingdom"
"142769","548636","22500","SET OF 2 TINS JARDIN DE PROVENCE",4,"4/1/2011 12:29",4.95,15601,"United Kingdom"
"288065","562129","21411","GINGHAM HEART  DOORSTOP RED",3,"8/3/2011 9:09",4.25,13186,"United Kingdom"
"504193","578944","21385","IVORY HANGING DECORATION  HEART",2,"11/27/2011 13:41",0.85,16005,"United Kingdom"
"55875","541004","22767","TRIPLE PHOTO FRAME CORNICE ",2,"1/13/2011 10:35",9.95,18190,"United Kingdom"
"410282","572100","23531","WALL ART BIG LOVE ",6,"10/20/2011 15:45",6.95,16705,"United Kingdom"
"218160","556020","22355","CHARLOTTE BAG SUKI DESIGN",4,"6/8/2011 12:03",0.85,13571,"United Kingdom"
"333895","566221","22952","60 CAKE CASES VINTAGE CHRISTMAS",2,"9/9/2011 16:13",1.25,NA,"United Kingdom"
"502303","578844","22158","3 HEARTS HANGING DECORATION RUSTIC",1,"11/25/2011 16:14",5.79,NA,"United Kingdom"
"362694","568517","22185","SLATE TILE NATURAL HANGING",2,"9/27/2011 12:52",1.65,14456,"United Kingdom"
"152737","549690","22241","GARLAND WOODEN HAPPY EASTER",15,"4/11/2011 13:41",1.25,17841,"United Kingdom"
"110628","545690","22723","SET OF 6 HERB TINS SKETCHBOOK",2,"3/6/2011 12:46",3.95,13263,"United Kingdom"
"232855","557349","82001S","VINYL RECORD FRAME SILVER",8,"6/20/2011 10:34",3.75,16717,"United Kingdom"
"505407","579039","20725","LUNCH BAG RED RETROSPOT",10,"11/28/2011 10:23",1.65,17031,"United Kingdom"
"403588","571641","35599B","BLACK CHRISTMAS TREE 120CM",6,"10/18/2011 12:07",1.95,17135,"United Kingdom"
"480922","577324","22759","SET OF 3 NOTEBOOKS IN PARCEL",12,"11/18/2011 14:01",1.65,16463,"United Kingdom"
"106331","545324","22424","ENAMEL BREAD BIN CREAM",1,"3/1/2011 14:58",12.75,13110,"United Kingdom"
"355641","567958","23292","SPACEBOY CHILDRENS CUP",8,"9/23/2011 9:00",1.25,12619,"Germany"
"127682","547243","23176","ABC TREASURE BOOK BOX ",1,"3/21/2011 16:59",2.25,17231,"United Kingdom"
"461374","575938","21172","PARTY METAL SIGN ",3,"11/13/2011 11:30",1.45,17790,"United Kingdom"
"261243","559817","23310","BUBBLEGUM RING ASSORTED",2,"7/12/2011 16:20",0.83,NA,"United Kingdom"
"55296","540985","22605","WOODEN CROQUET GARDEN SET",6,"1/12/2011 15:48",12.75,17389,"United Kingdom"
"81438","543129","22672","FRENCH BATHROOM SIGN BLUE METAL",12,"2/3/2011 15:02",1.65,14540,"United Kingdom"
"358261","568139","21231","SWEETHEART CERAMIC TRINKET BOX",12,"9/25/2011 10:46",1.25,13083,"United Kingdom"
"468643","576520","85123A","WHITE HANGING HEART T-LIGHT HOLDER",6,"11/15/2011 12:33",2.95,14467,"United Kingdom"
"375637","569470","21014","SWISS CHALET TREE DECORATION ",24,"10/4/2011 12:25",0.29,17673,"United Kingdom"
"203949","554603","20970","PINK FLORAL FELTCRAFT SHOULDER BAG",2,"5/25/2011 11:14",3.75,14593,"United Kingdom"
"236657","557769","23029","DRAWER KNOB CRACKLE GLAZE GREEN",6,"6/22/2011 14:38",1.65,16626,"United Kingdom"
"470789","576618","22599","CHRISTMAS MUSICAL ZINC STAR",4,"11/15/2011 17:00",0.83,NA,"United Kingdom"
"187472","552975","22778","GLASS CLOCHE SMALL",4,"5/12/2011 13:58",3.95,17932,"United Kingdom"
"494626","578270","23224","CHERUB HEART DECORATION GOLD",43,"11/23/2011 13:39",1.63,14096,"United Kingdom"
"155809","550016","22247","BUNNY DECORATION MAGIC GARDEN",16,"4/14/2011 10:54",0.85,15416,"United Kingdom"
"143893","548714","84509A","SET OF 4 ENGLISH ROSE PLACEMATS",1,"4/3/2011 15:07",3.75,17337,"United Kingdom"
"323096","565243","85099B","JUMBO BAG RED RETROSPOT",10,"9/2/2011 10:20",2.08,16735,"United Kingdom"
"533158","581015","22752","SET 7 BABUSHKA NESTING BOXES",12,"12/7/2011 9:35",3.95,13949,"United Kingdom"
"408277","571931","21992","VINTAGE PAISLEY STATIONERY SET",1,"10/19/2011 16:59",2.46,NA,"United Kingdom"
"144315","548737","22321","BIRD DECORATION RED RETROSPOT",12,"4/4/2011 11:18",0.85,12682,"France"
"302184","563382","22460","EMBOSSED GLASS TEALIGHT HOLDER",12,"8/16/2011 10:50",1.25,18221,"United Kingdom"
"146010","548952","22766","PHOTO FRAME CORNICE",16,"4/5/2011 10:46",2.95,15572,"United Kingdom"
"43423","540040","85169B","BLACK LOVE BIRD CANDLE",24,"1/4/2011 14:20",0.42,12483,"Sweden"
"41860","539958","21632","VINTAGE PINK DECORATIVE PARASOL",1,"12/23/2010 13:26",8.47,NA,"United Kingdom"
"293454","562602","22847","BREAD BIN DINER STYLE IVORY",2,"8/8/2011 10:11",16.95,12865,"Austria"
"237181","557805","23165","LARGE CERAMIC TOP STORAGE JAR",12,"6/23/2011 10:27",1.65,17651,"United Kingdom"
"409167","572047","22356","CHARLOTTE BAG PINK POLKADOT",3,"10/20/2011 12:13",0.85,16474,"United Kingdom"
"264500","560098","71477","COLOUR GLASS. STAR T-LIGHT HOLDER",24,"7/14/2011 17:44",2.75,16907,"United Kingdom"
"487431","577768","22960","JAM MAKING SET WITH JARS",3,"11/21/2011 15:18",8.29,NA,"United Kingdom"
"190853","553212","23190","BUNDLE OF 3 SCHOOL EXERCISE BOOKS  ",12,"5/16/2011 9:42",1.65,15358,"United Kingdom"
"454559","575583","23538","WALL ART VINTAGE HEART",1,"11/10/2011 11:55",4.95,14456,"United Kingdom"
"68145","541855","21520","BOOZE & WOMEN GREETING CARD ",12,"1/23/2011 14:59",0.42,13742,"United Kingdom"
"280779","561502","22030","SWALLOWS GREETING CARD",12,"7/27/2011 14:14",0.42,14305,"United Kingdom"
"24047","538311","85099B","JUMBO BAG RED RETROSPOT",10,"12/10/2010 13:48",1.95,12785,"Portugal"
"524046","580527","84991","60 TEATIME FAIRY CAKE CASES",6,"12/4/2011 15:19",0.55,13736,"United Kingdom"
"345815","567180","21328","BALLOONS  WRITING SET ",5,"9/18/2011 14:56",1.65,17802,"United Kingdom"
"9606","537208","22081","RIBBON REEL FLORA + FAUNA ",1,"12/5/2010 15:12",1.65,15889,"United Kingdom"
"445506","574842","23355","HOT WATER BOTTLE KEEP CALM",4,"11/7/2011 11:55",4.95,13890,"United Kingdom"
"258791","559672","22630","DOLLY GIRL LUNCH BOX",4,"7/11/2011 14:04",1.95,14796,"United Kingdom"
"270083","C560540","23174","REGENCY SUGAR BOWL GREEN",-1,"7/19/2011 12:26",4.15,12415,"Australia"
"484010","577518","22699","ROSES REGENCY TEACUP AND SAUCER ",6,"11/20/2011 13:17",2.95,14359,"United Kingdom"
"375055","569415","22278","OVERNIGHT BAG VINTAGE ROSE PAISLEY",1,"10/4/2011 10:14",10.79,NA,"United Kingdom"
"534573","581163","82482","WOODEN PICTURE FRAME WHITE FINISH",12,"12/7/2011 14:34",2.95,12747,"United Kingdom"
"310024","564160","85123A","WHITE HANGING HEART T-LIGHT HOLDER",96,"8/23/2011 12:47",2.55,15569,"United Kingdom"
"198148","554015","22382","LUNCH BAG SPACEBOY DESIGN ",10,"5/20/2011 13:14",1.65,17644,"United Kingdom"
"383560","570030","22555","PLASTERS IN TIN STRONGMAN",12,"10/7/2011 10:44",1.65,12740,"France"
"31155","538900","22626","BLACK KITCHEN SCALES",2,"12/15/2010 9:51",8.5,13078,"United Kingdom"
"345784","567179","22619","SET OF 6 SOLDIER SKITTLES",2,"9/18/2011 14:27",3.75,15547,"United Kingdom"
"165593","550818","21696","SMALL SILVER TRELLIS CANDLEPOT",12,"4/20/2011 17:10",2.95,15912,"United Kingdom"
"273321","560824","23309","SET OF 60 I LOVE LONDON CAKE CASES ",1,"7/21/2011 11:23",0.55,17935,"United Kingdom"
"53897","540848","21448","12 DAISY PEGS IN WOOD BOX",1,"1/12/2011 9:26",3.36,NA,"United Kingdom"
"261009","559817","23013","GLASS APOTHECARY BOTTLE TONIC",1,"7/12/2011 16:20",3.95,NA,"United Kingdom"
"316399","564754","22732","3D VINTAGE CHRISTMAS STICKERS ",1,"8/30/2011 10:29",2.46,NA,"United Kingdom"
"72399","542243","21033","JUMBO BAG CHARLIE AND LOLA TOYS",1,"1/26/2011 15:00",2.95,17841,"United Kingdom"
"141092","548498","22069","BROWN  PIRATE TREASURE CHEST ",12,"3/31/2011 13:46",1.65,16681,"United Kingdom"
"193589","553540","22983","CARD BILLBOARD FONT",72,"5/17/2011 15:32",0.36,17511,"United Kingdom"
"340556","566673","22809","SET OF 6 T-LIGHTS SANTA",6,"9/14/2011 11:39",2.95,17728,"United Kingdom"
"239586","558063","22273","FELTCRAFT DOLL MOLLY",3,"6/24/2011 15:28",2.95,16395,"United Kingdom"
"488324","577811","23184","BULL DOG BOTTLE OPENER",4,"11/22/2011 8:54",4.95,16311,"United Kingdom"
"540292","581475","22785","SQUARECUSHION COVER PINK UNION JACK",12,"12/9/2011 8:39",1.25,13069,"United Kingdom"
"505919","579103","22996","TRAVEL CARD WALLET VINTAGE TICKET",1,"11/28/2011 11:39",0.42,18041,"United Kingdom"
"200385","554131","23107","WHITE HEARTS WIRE PLANT POT HOLDER",8,"5/23/2011 9:43",2.89,13988,"United Kingdom"
"409444","572061","22489","PACK OF 12 TRADITIONAL CRAYONS",24,"10/20/2011 12:53",0.42,12474,"Germany"
"314572","564643","23300","GARDENERS KNEELING PAD CUP OF TEA ",5,"8/26/2011 13:25",1.65,15356,"United Kingdom"
"458642","575846","23032","DRAWER KNOB CRACKLE GLAZE IVORY",11,"11/11/2011 12:07",1.65,17364,"United Kingdom"
"339858","566603","23004","TRAVEL CARD WALLET PANTRY",1,"9/13/2011 16:12",0.83,NA,"United Kingdom"
"68908","541880","20726","LUNCH BAG WOODLAND",20,"1/24/2011 10:38",1.65,13819,"United Kingdom"
"204483","554666","22663","JUMBO BAG DOLLY GIRL DESIGN",10,"5/25/2011 14:54",2.08,13599,"United Kingdom"
"416828","572560","22624","IVORY KITCHEN SCALES",4,"10/25/2011 8:45",8.5,12476,"Germany"
"209443","555240","23206","LUNCH BAG APPLE DESIGN",2,"6/1/2011 13:07",1.65,15039,"United Kingdom"
"421574","573001","22138","BAKING SET 9 PIECE RETROSPOT ",1,"10/27/2011 12:08",4.95,12841,"United Kingdom"
"201389","554283","22664","TOY TIDY DOLLY GIRL DESIGN",5,"5/23/2011 14:11",2.1,17686,"United Kingdom"
"81449","543131","22260","FELT EGG COSY BLUE RABBIT ",12,"2/3/2011 15:23",0.85,13539,"United Kingdom"
"189363","553148","84991","60 TEATIME FAIRY CAKE CASES",24,"5/13/2011 14:09",0.55,NA,"Hong Kong"
"235532","557642","22173","METAL 4 HOOK HANGER FRENCH CHATEAU",1,"6/21/2011 16:35",5.79,NA,"United Kingdom"
"461203","575930","90200A","PURPLE SWEETHEART BRACELET",1,"11/11/2011 17:58",4.15,NA,"United Kingdom"
"228736","556945","21614","",3,"6/15/2011 16:55",0,NA,"United Kingdom"
"108219","545519","21389","IVORY HANGING DECORATION  BIRD",24,"3/3/2011 12:27",0.85,16159,"United Kingdom"
"39841","539708","22568","FELTCRAFT CUSHION OWL",2,"12/21/2010 12:18",7.62,NA,"United Kingdom"
"537490","581291","21495","SKULLS AND CROSSBONES WRAP",25,"12/8/2011 11:38",0.42,14135,"United Kingdom"
"50475","540551","22375","AIRLINE BAG VINTAGE JET SET BROWN",3,"1/10/2011 9:43",4.21,NA,"United Kingdom"
"195268","553710","22471","TV DINNER TRAY AIR HOSTESS ",2,"5/18/2011 15:35",4.95,17338,"United Kingdom"
"98627","544681","22647","CERAMIC LOVE HEART MONEY BANK",1,"2/22/2011 16:28",3.29,NA,"United Kingdom"
"56879","541120","22551","PLASTERS IN TIN SPACEBOY",12,"1/14/2011 9:13",1.65,12490,"France"
"226107","556779","22089","PAPER BUNTING VINTAGE PAISLEY",2,"6/14/2011 12:45",2.95,16774,"United Kingdom"
"430592","573585","22308","TEA COSY BLUE STRIPE",1,"10/31/2011 14:41",4.96,NA,"United Kingdom"
"489372","578013","23504","PLAYING CARDS JUBILEE UNION JACK",1,"11/22/2011 12:55",1.25,17360,"United Kingdom"
"241503","558232","22189","CREAM HEART CARD HOLDER",2,"6/27/2011 14:30",3.95,17841,"United Kingdom"
"309763","564140","20749","ASSORTED COLOUR MINI CASES",2,"8/23/2011 11:47",7.95,12621,"Germany"
"242283","C558329","46000S","POLYESTER FILLER PAD 40x40cm",-12,"6/28/2011 12:09",1.45,17900,"United Kingdom"
"94282","544341","15036","ASSORTED COLOURS SILK FAN",12,"2/18/2011 9:43",0.75,13012,"United Kingdom"
"314278","564630","21390","FILIGRIS HEART WITH BUTTERFLY",24,"8/26/2011 11:53",1.25,13644,"United Kingdom"
"373694","569357","47566","PARTY BUNTING",4,"10/3/2011 14:52",4.95,15930,"United Kingdom"
"376868","569538","22116","METAL SIGN HIS DINNER IS SERVED",12,"10/4/2011 15:55",0.79,14462,"United Kingdom"
"385552","570209","23538","WALL ART VINTAGE HEART",1,"10/9/2011 10:29",4.95,16326,"United Kingdom"
"224287","556513","21931","JUMBO STORAGE BAG SUKI",6,"6/13/2011 10:45",4.13,NA,"United Kingdom"
"190339","553189","22748","POPPY'S PLAYHOUSE KITCHEN",2,"5/15/2011 13:14",2.1,15033,"United Kingdom"
"481749","577358","20931","BLUE POT PLANT CANDLE ",1,"11/18/2011 15:59",7.46,NA,"United Kingdom"
"349264","567484","23393","HOME SWEET HOME CUSHION COVER ",4,"9/20/2011 13:52",3.75,17340,"United Kingdom"
"280266","561388","23235","STORAGE TIN VINTAGE LEAF",48,"7/27/2011 9:32",2.49,12753,"Japan"
"268852","560434","22204","MILK PAN BLUE POLKADOT",1,"7/18/2011 15:56",3.29,NA,"United Kingdom"
"270231","560553","23077","DOUGHNUT LIP GLOSS ",20,"7/19/2011 12:58",1.25,13991,"United Kingdom"
"234621","557570","22383","LUNCH BAG SUKI DESIGN ",2,"6/21/2011 10:48",1.65,15998,"United Kingdom"
"466627","576329","21890","S/6 WOODEN SKITTLES IN COTTON BAG",1,"11/14/2011 15:22",5.79,NA,"United Kingdom"
"362569","568510","22736","RIBBON REEL MAKING SNOWMEN ",30,"9/27/2011 12:26",1.65,13555,"United Kingdom"
"408423","571937","21243","PINK  POLKADOT PLATE ",8,"10/20/2011 9:28",1.69,14911,"EIRE"
"45521","540267","22514","CHILDS GARDEN SPADE BLUE",36,"1/6/2011 11:12",1.85,12415,"Australia"
"361469","568346","22839","3 TIER CAKE TIN GREEN AND CREAM",1,"9/26/2011 15:28",29.13,14096,"United Kingdom"
"403456","571601","21591","COSY HOUR CIGAR BOX MATCHES ",5,"10/18/2011 10:53",1.25,17073,"United Kingdom"
"2661","536592","22147","FELTCRAFT BUTTERFLY HEARTS",2,"12/1/2010 17:06",3.36,NA,"United Kingdom"
"184323","552683","22501","PICNIC BASKET WICKER LARGE",1,"5/10/2011 15:09",20.79,NA,"United Kingdom"
"316728","564755","90114","SUMMER DAISIES BAG CHARM",1,"8/30/2011 10:31",2.46,NA,"United Kingdom"
"84467","543397","22449","SILK PURSE BABUSHKA PINK",2,"2/8/2011 10:32",3.35,17859,"United Kingdom"
"152839","549693","85144","JARDIN ETCHED GLASS CHEESE DISH",12,"4/11/2011 13:43",1.95,14696,"United Kingdom"
"389831","570488","22759","SET OF 3 NOTEBOOKS IN PARCEL",7,"10/10/2011 17:12",3.29,14096,"United Kingdom"
"16905","537666","21871","SAVE THE PLANET MUG",5,"12/7/2010 18:36",3.36,NA,"United Kingdom"
"219774","556108","20901","VINTAGE KEEPSAKE BOX PINK FLOWER",1,"6/8/2011 17:59",4.13,NA,"United Kingdom"
"469087","576575","22910","PAPER CHAIN KIT VINTAGE CHRISTMAS",6,"11/15/2011 13:55",2.95,16295,"United Kingdom"
"454849","575602","22867","HAND WARMER BIRD DESIGN",4,"11/10/2011 12:27",2.1,17059,"United Kingdom"
"475120","576864","23283","DOORMAT VINTAGE LEAF",1,"11/16/2011 16:06",8.25,12748,"United Kingdom"
"88431","543803","21454","PAINTED PINK RABBIT ",1,"2/13/2011 12:05",0.85,17126,"United Kingdom"
"71017","542107","21755","LOVE BUILDING BLOCK WORD",1,"1/25/2011 13:38",5.95,16222,"United Kingdom"
"471892","576654","20718","RED RETROSPOT SHOPPER BAG",5,"11/16/2011 10:55",1.25,15584,"United Kingdom"
"103779","545078","85204","HANGING WOOD AND FELT FLOWER",1,"2/28/2011 10:15",0.42,NA,"United Kingdom"
"362216","568411","22139","RETROSPOT TEA SET CERAMIC 11 PC ",1,"9/27/2011 10:52",10.79,NA,"United Kingdom"
"27037","538524","22494","EMERGENCY FIRST AID TIN ",2,"12/13/2010 9:35",2.51,NA,"United Kingdom"
"466355","576327","23516","EMBROIDERED RIBBON REEL SOPHIE  ",6,"11/14/2011 15:19",3.75,12476,"Germany"
"208527","555116","23000","TRAVEL CARD WALLET TRANSPORT",4,"5/31/2011 15:16",0.42,16919,"United Kingdom"
"511175","579472","21905","MORE BUTTER METAL SIGN ",1,"11/29/2011 15:09",0.79,13521,"United Kingdom"
"199913","554105","85183B","CHARLIE & LOLA WASTEPAPER BIN FLORA",2,"5/22/2011 14:04",1.25,14711,"United Kingdom"
"425577","573330","21803","CHRISTMAS TREE STAR DECORATION",1,"10/30/2011 11:22",0.42,16923,"United Kingdom"
"89790","543975","22193","RED DINER WALL CLOCK",1,"2/14/2011 15:23",8.5,17231,"United Kingdom"
"72716","542255","21485","RETROSPOT HEART HOT WATER BOTTLE",1,"1/26/2011 16:43",10.79,NA,"United Kingdom"
"197328","553896","22668","PINK BABY BUNTING",5,"5/19/2011 17:22",2.95,13887,"United Kingdom"
"161516","550474","22386","JUMBO BAG PINK POLKADOT",1,"4/18/2011 13:58",4.13,NA,"United Kingdom"
"145597","548894","22432","WATERING CAN PINK BUNNY",1,"4/4/2011 16:01",4.13,NA,"United Kingdom"
"158813","550315","22996","TRAVEL CARD WALLET VINTAGE TICKET",24,"4/17/2011 11:44",0.42,17990,"United Kingdom"
"248357","558812","22726","ALARM CLOCK BAKELIKE GREEN",4,"7/4/2011 11:35",3.75,16265,"United Kingdom"
"96675","544574","21651","HANGING GLASS ETCHED TEALIGHT",6,"2/21/2011 13:51",1.65,12365,"Cyprus"
"176511","552000","20726","LUNCH BAG WOODLAND",2,"5/5/2011 15:56",4.13,NA,"United Kingdom"
"166480","550921","22557","PLASTERS IN TIN VINTAGE PAISLEY ",12,"4/21/2011 14:21",1.65,14770,"United Kingdom"
"524812","580610","23199","JUMBO BAG APPLES",4,"12/5/2011 11:48",4.13,NA,"United Kingdom"
"249779","558911","21746","SMALL RED RETROSPOT WINDMILL",12,"7/5/2011 9:23",1.25,14189,"United Kingdom"
"369550","C569038","23174","REGENCY SUGAR BOWL GREEN",-2,"9/30/2011 10:46",4.15,12940,"United Kingdom"
"205868","554840","22557","PLASTERS IN TIN VINTAGE PAISLEY ",24,"5/26/2011 17:16",1.65,12684,"France"
"411593","572224","21809","CHRISTMAS HANGING TREE WITH BELL",12,"10/21/2011 13:46",1.25,16558,"United Kingdom"
"111246","545715","85099B","JUMBO BAG RED RETROSPOT",1,"3/7/2011 10:13",4.13,NA,"United Kingdom"
"126218","547068","22139","RETROSPOT TEA SET CERAMIC 11 PC ",6,"3/20/2011 13:48",4.95,13985,"United Kingdom"
"246020","558647","20970","PINK FLORAL FELTCRAFT SHOULDER BAG",4,"7/1/2011 10:39",3.75,14868,"United Kingdom"
"310682","564197","47590B","PINK HAPPY BIRTHDAY BUNTING",3,"8/23/2011 17:13",5.45,13425,"United Kingdom"
"98566","544681","21977","PACK OF 60 PINK PAISLEY CAKE CASES",2,"2/22/2011 16:28",1.25,NA,"United Kingdom"
"91769","544151","22478","BIRDHOUSE GARDEN MARKER ",6,"2/16/2011 12:02",1.25,15024,"United Kingdom"
"321035","565122","21754","HOME BUILDING BLOCK WORD",1,"9/1/2011 11:48",6.25,13069,"United Kingdom"
"393342","570818","22993","SET OF 4 PANTRY JELLY MOULDS",2,"10/12/2011 12:47",1.25,17841,"United Kingdom"
"45765","540278","22367","CHILDRENS APRON SPACEBOY DESIGN",1,"1/6/2011 12:31",1.95,15719,"United Kingdom"
"83984","543358","79190D","RETRO PLASTIC DAISY TRAY",1,"2/7/2011 14:04",0.83,NA,"United Kingdom"
"2825","536592","22801","ANTIQUE GLASS PEDESTAL BOWL",2,"12/1/2010 17:06",7.62,NA,"United Kingdom"
"78518","542888","22854","CREAM SWEETHEART EGG HOLDER",4,"2/1/2011 13:15",4.95,15687,"United Kingdom"
"180800","552357","22423","REGENCY CAKESTAND 3 TIER",2,"5/9/2011 12:16",12.75,18219,"United Kingdom"
"98280","544676","22997","TRAVEL CARD WALLET UNION JACK",2,"2/22/2011 16:03",0.42,17841,"United Kingdom"
"466156","576321","23205","CHARLOTTE BAG VINTAGE ALPHABET ",4,"11/14/2011 14:59",0.85,14953,"United Kingdom"
"538823","581416","22809","SET OF 6 T-LIGHTS SANTA",2,"12/8/2011 14:58",2.95,14569,"United Kingdom"
"425490","573326","20719","WOODLAND CHARLOTTE BAG",10,"10/30/2011 11:08",0.85,15298,"United Kingdom"
"91879","544159","21498","RED RETROSPOT WRAP ",50,"2/16/2011 12:48",0.42,14944,"United Kingdom"
"246155","558682","21179","NO JUNK MAIL METAL SIGN",1,"7/1/2011 11:20",3.29,NA,"United Kingdom"
"245160","558613","23202","JUMBO BAG VINTAGE LEAF",40,"6/30/2011 15:46",2.08,14911,"EIRE"
"83994","543358","84978","HANGING HEART JAR T-LIGHT HOLDER",4,"2/7/2011 14:04",2.46,NA,"United Kingdom"
"323473","565312","84660C","PINK STITCHED WALL CLOCK",22,"9/2/2011 12:37",0.79,14527,"United Kingdom"
"251243","559052","22230","JIGSAW TREE WITH WATERING CAN",3,"7/5/2011 16:53",0.83,NA,"United Kingdom"
"27674","538566","21067","VINTAGE RED TEATIME MUG",1,"12/13/2010 11:21",2.51,NA,"United Kingdom"
"123505","546896","22303","COFFEE MUG APPLES DESIGN",1,"3/17/2011 18:24",4.96,NA,"United Kingdom"
"369982","569120","23389","SPACEBOY MINI BACKPACK",4,"9/30/2011 12:58",4.15,12583,"France"
"195703","553738","23208","LUNCH BAG VINTAGE LEAF DESIGN",10,"5/19/2011 8:55",1.65,17469,"United Kingdom"
"221324","556243","84997B","CHILDRENS CUTLERY RETROSPOT RED ",1,"6/9/2011 16:07",8.29,NA,"United Kingdom"
"271112","560644","23306","SET OF 36 DOILIES PANTRY DESIGN",3,"7/20/2011 11:22",1.45,16271,"United Kingdom"
"454141","575512","23491","VINTAGE JINGLE BELLS HEART",2,"11/10/2011 10:36",8.25,14121,"United Kingdom"
"152269","549583","22423","REGENCY CAKESTAND 3 TIER",1,"4/11/2011 9:46",12.75,15214,"United Kingdom"
"387704","570374","22697","GREEN REGENCY TEACUP AND SAUCER",2,"10/10/2011 12:34",2.95,14719,"United Kingdom"
"478333","577078","22348","TEA BAG PLATE RED RETROSPOT",4,"11/17/2011 15:17",1.63,NA,"United Kingdom"
"7530","537044","22802","FAUX FUR CHOCOLATE THROW",2,"12/5/2010 10:52",19.95,18055,"United Kingdom"
"228847","556960","82600","NO SINGING METAL SIGN",12,"6/16/2011 9:28",2.1,14844,"United Kingdom"
"371351","569219","23371","SET 36 COLOUR PENCILS SPACEBOY ",1,"10/2/2011 13:01",1.25,13558,"United Kingdom"
"13724","537434","22900"," SET 2 TEA TOWELS I LOVE LONDON ",2,"12/6/2010 16:57",5.91,NA,"United Kingdom"
"152687","549681","21084","SET/6 COLLAGE PAPER CUPS",48,"4/11/2011 13:19",0.19,13881,"United Kingdom"
"245831","558634","48194","DOORMAT HEARTS",2,"6/30/2011 19:27",7.95,14506,"United Kingdom"
"242616","558367","22854","CREAM SWEETHEART EGG HOLDER",2,"6/28/2011 15:31",4.95,16550,"United Kingdom"
"141025","548496","22846","BREAD BIN DINER STYLE RED ",4,"3/31/2011 13:40",14.95,12678,"France"
"509514","579345","22138","BAKING SET 9 PIECE RETROSPOT ",3,"11/29/2011 11:46",4.95,12727,"France"
"343343","566949","22379","RECYCLING BAG RETROSPOT ",1,"9/15/2011 16:32",4.13,NA,"United Kingdom"
"63948","541592","22223","CAKE PLATE LOVEBIRD PINK",1,"1/19/2011 15:08",4.13,NA,"United Kingdom"
"292462","562553","22734","SET OF 6 RIBBONS VINTAGE CHRISTMAS",1,"8/5/2011 16:34",5.79,NA,"United Kingdom"
"64231","541596","22957","SET 3 PAPER VINTAGE CHICK PAPER EGG",1,"1/19/2011 16:18",2.95,17602,"United Kingdom"
"435112","574074","21985","PACK OF 12 HEARTS DESIGN TISSUES ",1,"11/2/2011 15:33",0.83,NA,"United Kingdom"
"449125","575086","22733","3D TRADITIONAL CHRISTMAS STICKERS",18,"11/8/2011 13:52",1.25,16618,"United Kingdom"
"268449","560422","23209","LUNCH BAG DOILEY PATTERN ",10,"7/18/2011 15:14",1.65,16746,"United Kingdom"
"466643","576329","21982","PACK OF 12 SUKI TISSUES ",2,"11/14/2011 15:22",0.83,NA,"United Kingdom"
"485191","577557","23399","HOME SWEET HOME HANGING HEART",1,"11/20/2011 15:36",0.85,15426,"United Kingdom"
"313978","564553","22430","ENAMEL WATERING CAN CREAM",2,"8/25/2011 18:45",4.95,18200,"United Kingdom"
"331362","566010","22111","SCOTTIE DOG HOT WATER BOTTLE",2,"9/8/2011 12:05",4.95,13700,"United Kingdom"
"412007","572244","22577","WOODEN HEART CHRISTMAS SCANDINAVIAN",24,"10/21/2011 15:54",0.29,14233,"United Kingdom"
"534140","581134","17003","BROCADE RING PURSE ",36,"12/7/2011 13:12",0.39,16368,"United Kingdom"
"273357","560827","84510A","SET OF 4 ENGLISH ROSE COASTERS",10,"7/21/2011 11:42",1.25,14517,"United Kingdom"
"117180","546367","21922","UNION STRIPE WITH FRINGE  HAMMOCK",12,"3/11/2011 11:38",6.95,15513,"United Kingdom"
"371989","569229","22980","PANTRY SCRUBBING BRUSH",1,"10/2/2011 14:56",1.65,14502,"United Kingdom"
"170008","551274","22672","FRENCH BATHROOM SIGN BLUE METAL",12,"4/27/2011 12:57",1.65,14235,"United Kingdom"
"402055","571462","84947","ANTIQUE SILVER TEA GLASS ENGRAVED",12,"10/17/2011 14:14",1.25,16363,"United Kingdom"
"318966","564840","85123A","WHITE HANGING HEART T-LIGHT HOLDER",1,"8/30/2011 12:49",5.79,NA,"United Kingdom"
